SKU,Inventory,PRICE,DISCONTINUED,Active,Name,subsku,upc,inventory parent
"CZCH-CTZ12-120","0","30.0000",,Active,"Charcoal Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ12-120","610395220947","0"
"DIS-ID124-84","46","0.0000",,Active,"Chocolate Textured Dupioni Silk Curtain","DIS-ID124-84","797734449815","0"
"DIS-ID124-96","36","15.0000",,Active,"Chocolate Textured Dupioni Silk Curtain","DIS-ID124-96","797734449822","0"
"DIS-ID124-108","0","25.0000",,Active,"Chocolate Textured Dupioni Silk Curtain","DIS-ID124-108","797734449839","0"
"DIS-ID124-120","22","35.0000",,Active,"Chocolate Textured Dupioni Silk Curtain","DIS-ID124-120","797734449846","0"
"CZCH-CTZ5-84","0","0.0000",,Active,"2-1 Citron Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ5-84","610395220992","0"
"CZCH-CTZ5-96","41","10.0000",,Active,"2-1 Citron Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ5-96","610395221005","0"
"CZCH-CTZ5-120","41","30.0000",,Active,"2-1 Citron Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ5-120","610395221029","0"
"CZCH-CTZ10-84","0","0.0000",,Active,"2-1 Cocoa Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ10-84","610395221159","0"
"CZCH-CTZ10-96","0","10.0000",,Active,"2-1 Cocoa Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ10-96","610395221166","0"
"CZCH-CTZ10-120","0","30.0000",,Active,"2-1 Cocoa Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ10-120","610395221180","0"
"PTSCH-11093-84","68","0.0000",,Active,"Crockett Faux Silk Taffeta Stripe Curtain","PTSCH-11093-84","797734451788","0"
"PTSCH-11093-96","294","10.0000",,Active,"Crockett Faux Silk Taffeta Stripe Curtain","PTSCH-11093-96","797734451795","0"
"PTSCH-11093-108","124","20.0000",,Active,"Crockett Faux Silk Taffeta Stripe Curtain","PTSCH-11093-108","797734451801","0"
"PTSCH-11093-120","102","30.0000",,Active,"Crockett Faux Silk Taffeta Stripe Curtain","PTSCH-11093-120","797734451818","0"
"DIS-ID112-84","0","0.0000",,Active,"Chili Pepper Textured Dupioni Silk Curtain","DIS-ID112-84","797734450255","0"
"DIS-ID112-96","0","15.0000",,Active,"Chili Pepper Textured Dupioni Silk Curtain","DIS-ID112-96","797734450262","0"
"DIS-ID112-108","0","25.0000",,Active,"Chili Pepper Textured Dupioni Silk Curtain","DIS-ID112-108","797734450279","0"
"DIS-ID112-120","0","35.0000",,Active,"Chili Pepper Textured Dupioni Silk Curtain","DIS-ID112-120","797734450286","0"
"DIS-ID1-84","93","0.0000",,Active,"Lily White Textured Dupioni Silk Curtain","DIS-ID1-84","797734450453","0"
"DIS-ID1-96","129","15.0000",,Active,"Lily White Textured Dupioni Silk Curtain","DIS-ID1-96","797734450460","0"
"DIS-ID1-108","135","25.0000",,Active,"Lily White Textured Dupioni Silk Curtain","DIS-ID1-108","797734450477","0"
"DIS-ID1-120","71","35.0000",,Active,"Lily White Textured Dupioni Silk Curtain","DIS-ID1-120","797734450484","0"
"DIS-ID9-84","31","0.0000",,Active,"Maplewood Textured Dupioni Silk Curtain","DIS-ID9-84","797734450378","0"
"DIS-ID9-96","0","15.0000",,Active,"Maplewood Textured Dupioni Silk Curtain","DIS-ID9-96","797734450385","0"
"DIS-ID9-108","0","25.0000",,Active,"Maplewood Textured Dupioni Silk Curtain","DIS-ID9-108","797734450392","0"
"DIS-ID9-120","0","35.0000",,Active,"Maplewood Textured Dupioni Silk Curtain","DIS-ID9-120","797734450408","0"
"DIS-ID50-84","26","0.0000",,Active,"Mocha Textured Dupioni Silk Curtain","DIS-ID50-84","797734450330","0"
"DIS-ID50-96","47","15.0000",,Active,"Mocha Textured Dupioni Silk Curtain","DIS-ID50-96","797734450347","0"
"DIS-ID50-108","0","25.0000",,Active,"Mocha Textured Dupioni Silk Curtain","DIS-ID50-108","797734450354","0"
"DIS-ID50-120","0","35.0000",,Active,"Mocha Textured Dupioni Silk Curtain","DIS-ID50-120","797734450361","0"
"DIS-ID37-84","22","0.0000",,Active,"Restful Green Textured Dupioni Silk Curtain","DIS-ID37-84","797734450057","0"
